,loading_comp1_estimate,loading_comp1_68%_low,loading_comp1_68%_upper,loading_comp1_95%_low,loading_comp1_95%_upper,loading_comp1_99%_low,loading_comp1_99%_upper,loading_comp1_99.7%_low,loading_comp1_99.7%_upper,loading_comp1_consistency
deg_R-LOFG,-0.18047403226431144,-0.25977801640956066,-0.06473483232734056,-0.32015328887848066,0.0649159209541731,-0.35405424787312234,0.14439437449277873,-0.3725131560642219,0.20253263365794036,0.0708
deg_R-LG,-0.09614088316521,-0.1783942869492747,0.01493413707605773,-0.2504403445779985,0.14112777773058785,-0.2920973733045212,0.22982894148273658,-0.3086474811734993,0.28389398875464056,0.4686
deg_R-MOFG,-0.19850459535646325,-0.2673520412812748,-0.08811830608599315,-0.3246601922148074,0.026472768370654695,-0.35370904358586014,0.108128237171069,-0.3754185423436986,0.1598165883774856,0.7428
deg_R-MTG,-0.32925082310932874,-0.4324588458938363,-0.16492715688405193,-0.5051552088626274,0.04363607908823917,-0.543262852507116,0.19468974148668192,-0.5624695023187635,0.2870344505890087,0.4448
deg_R-PHIG,-0.054488473230897845,-0.11907149145306443,0.03064950895584365,-0.17951585460613106,0.12380484090981016,-0.21555362159164468,0.17747536995733362,-0.24398196844164258,0.2103560855344261,0.3432
deg_R-PaCG,0.2870863048408139,0.18731322694767097,0.3442892242406755,0.06333618882762863,0.3942049015762187,-0.0631364614730059,0.41884626714148804,-0.13326251195150327,0.43211180645850245,0.103
deg_R-POP,0.023970684014762694,-0.09134025933665937,0.1389116475433459,-0.19817046882723321,0.24371837141788005,-0.26287037107402433,0.3081044446353946,-0.31142148320010815,0.34401129884498355,0.4744
deg_R-POR,-0.31270780474989357,-0.3975588790311488,-0.1674382151936701,-0.4560935485760082,0.0037593638295971613,-0.49299801290144674,0.1374044818806624,-0.5034807925418248,0.21752215973713854,0.2246
deg_R-PTR,-0.16338693749959524,-0.2579668144201919,-0.03237167747906706,-0.33216766754508203,0.10433179792280275,-0.3706546798692825,0.1902155123460984,-0.3992859464136747,0.26306004694716983,0.446
deg_R-PCAL,-0.02768437268087203,-0.11153218328743973,0.0717038050587298,-0.18162481099647435,0.181442498624337,-0.2248292709484558,0.248166422947484,-0.2476251631955255,0.28676146111195294,0.7384
deg_R-PoCG,-0.09024004856793566,-0.2016850949891087,0.04819093507717718,-0.28915287945807444,0.20194153600220802,-0.3446008962432635,0.2852074225675983,-0.37462486808589046,0.336370589483373,0.014
deg_R-PCG,0.22440486461273093,0.1234063906464791,0.29530714293511195,0.03420478589487461,0.36437798101069035,-0.026849634293236724,0.398588384974744,-0.05458737776479913,0.41354994896791053,0.7566
deg_R-PrCG,0.060547721162402986,-0.06765178005099877,0.18812590408805208,-0.17828419776962937,0.315218280139832,-0.2540901896131567,0.387457231446619,-0.2876967464830538,0.4238402774283626,0.0012
deg_R-PCU,-0.0659767615730273,-0.19226299390397394,0.08001099679000714,-0.303853447299214,0.21460159189091568,-0.378316738315264,0.30898103230897467,-0.41006809348034423,0.34840578819652995,0.3744
deg_R-RACG,0.19678811634985952,0.0868063134224412,0.2729050687494618,-0.021776763675094096,0.3450829262951393,-0.1163065433470793,0.3825253360916095,-0.1851321863783265,0.3987241347936778,0.711
deg_R-RMFG,-0.12998809243059395,-0.23697247295443602,0.0050384482836726245,-0.32564236330691004,0.1348486411519928,-0.3779658783019393,0.2421820717772678,-0.41516901617257584,0.27174361218440035,0.235
deg_R-SFG,-0.28429790338514627,-0.3823451464850877,-0.13190718955039676,-0.4641460274466433,0.05427248994080865,-0.511083428213578,0.16133848847275664,-0.5374340925880156,0.24170679061259814,0.9654
deg_R-SPG,-0.07904964946815671,-0.21532316707021382,0.07674298773311236,-0.3292968823276174,0.2314132693279076,-0.3918154290081117,0.33309023062735976,-0.45331654740133626,0.3780147227780498,0.4738
deg_R-STG,-0.368207311405221,-0.4672074605194081,-0.2011635383780248,-0.5397820351892836,0.0026817479787429933,-0.5756759016194176,0.148218862991982,-0.597341846974188,0.2448215202639733,0.5712
deg_R-SMG,0.04504819059941294,-0.08052734629117472,0.17261525706890316,-0.18608065648520627,0.2950946713450732,-0.2533572634306956,0.36989950609841243,-0.28283937803974046,0.40815056179713405,0.9314
deg_R-FP,-0.2766450975660131,-0.3123641120038902,-0.19258176063356533,-0.3463546046289964,-0.05135641046155525,-0.3658723389047005,0.11937646521537325,-0.3782571251298738,0.2250744785509306,0.3274
deg_R-TP,-0.3609025173067895,-0.38602639066670164,-0.26893217500081024,-0.42058228228041383,-0.13688883480882774,-0.437608940902182,0.03628097410770456,-0.4495611424103107,0.09527520773009406,0.9694
deg_R-TTG,0.19324185333058558,0.114674052504635,0.23960682630787788,0.032486768641527955,0.28778269646440513,-0.04693498505748445,0.3086181120618659,-0.07818364802661441,0.32095432317637285,0.8406
deg_R-IN,0.03519239319564104,-0.07731071257720731,0.1454666721479098,-0.1799728050065292,0.24614642401093847,-0.24721273067722285,0.302069066141371,-0.2739455808646688,0.3399506124689087,0.292
deg_R-CER,-0.038216951346594405,-0.10808516827255951,0.04894930518817543,-0.1809228741005057,0.1271153365529117,-0.23447410904750057,0.1753860504661575,-0.2576727383801692,0.20244468234094262,0.7918
stren_L-BSTS,-0.10815295801226228,-0.13912870576101216,-0.054013181533651235,-0.1695615382334846,0.008728515138554644,-0.18749256544376963,0.07896555308491421,-0.19766997499720404,0.11508421711852629,0.5134
stren_L-CACG,0.2692819083566385,0.21060471951646512,0.28347085300398644,0.145896966040477,0.31557824887956093,0.07293216817400672,0.33329907739715636,-0.0006016844358394804,0.3448959616389638,0.5952
stren_L-CMFG,0.07494006841872314,0.023248615365878883,0.11868816455961562,-0.019194597968897442,0.17477528326261035,-0.04944677470346495,0.21195271044838643,-0.07061215547760992,0.2335092629319637,0.9302
stren_L-CU,0.012137596411315564,-0.036240584280865844,0.06760981919045775,-0.0834156063071703,0.13156381017499325,-0.11121512532586897,0.183397028261874,-0.13537284368223665,0.22309886529510953,0.4248
stren_L-EC,0.15622483492306208,0.07839918839323302,0.21104252893608602,-0.05917866027107897,0.25534510706810704,-0.21280655507556553,0.2814376616876705,-0.2930421123659469,0.29488444047191037,0.8308
stren_L-FG,0.3769417077535043,0.26305242840841003,0.4285284745866768,0.0823396849538144,0.4771521420635432,-0.14721310163803777,0.5047859431235658,-0.30063960868183776,0.5165718830598826,0.9644
stren_L-IPG,-0.017296355156158644,-0.06211635378828822,0.03130175702571699,-0.11270073782813445,0.08237402459763712,-0.15023166947860264,0.11958945341700788,-0.18130508287673489,0.14901819889430504,0.2054
stren_L-ITG,-0.09649336621693567,-0.1417955257444335,-0.03292384940112617,-0.20700369712671088,0.023773175503066058,-0.2489680972215088,0.06136225584522645,-0.2811409132456987,0.08915850057534844,0.9606
stren_L-ICG,0.23883485148050596,0.1651706606545075,0.27448744297878347,0.11648815940298712,0.33414393597754144,0.08267115996811275,0.3690109019187365,0.06006250710267285,0.3957509437107108,0.9738
stren_L-LOG,0.20525927291900195,0.12092446021935642,0.2550429786087905,0.033628656810736374,0.31224828011886757,-0.04897426937333408,0.3474628302637332,-0.09332656450158286,0.3832108982002725,0.395
stren_L-LOFG,0.4386943355424777,0.34632810189961294,0.4612022709789757,0.20443485021532806,0.4946043332820527,0.020743317450037855,0.5098473329761533,-0.14200020669177826,0.5174879774445382,0.9972
stren_L-LG,0.28027728642829475,0.1977660770644191,0.3120909237048631,0.1097116012582947,0.35630552543459537,0.01930117472268878,0.3807944315906323,-0.058135328879259845,0.3968171323132554,0.9276
stren_L-MOFG,0.07525365639223772,0.009454702367067391,0.1270278248438673,-0.09777979856404784,0.169542079907445,-0.20648824133560367,0.1972493881874145,-0.25619416808378087,0.220296306836447,0.0372
stren_L-MTG,-0.37685939544409786,-0.38396656569675636,-0.30402118833811603,-0.4139772461343856,-0.21954786415741484,-0.4297984485844344,-0.0865896669781162,-0.43759246260651546,-0.015360160102034327,0.6194
stren_L-PHIG,0.2755714805820318,0.20197981966230166,0.31011097579929137,0.0950336459075923,0.34679970879544586,-0.06050700933310567,0.36623964095157485,-0.14325666999505243,0.37678433214080054,0.935
stren_L-PaCG,0.2770220018327693,0.21091735285083843,0.2997347134093975,0.1543090741167528,0.3356152064964605,0.1111828480570904,0.3567983391166453,0.05425359285825878,0.3686959187748118,0.8058
stren_L-POP,-0.1785354989994991,-0.21826353553773403,-0.10465543554876712,-0.2531703280419106,-0.013549493567817684,-0.27192669285208354,0.07090042604564162,-0.27833795535137185,0.11909787401029563,0.452
stren_L-POR,-0.31590827565489793,-0.33955988765980166,-0.23400544807126542,-0.3665533247529413,-0.12025329280470606,-0.38395841880932075,0.014014473241561319,-0.3933870565592115,0.05873012362959953,0.0946
stren_L-PTR,-0.03969582916996514,-0.07469554592910178,0.0064660587057180806,-0.10856505507547641,0.05963919373107481,-0.1260362551277599,0.0989322577948796,-0.14014746915918055,0.12616604995903064,0.2658
stren_L-PCAL,0.22572730823105394,0.14931871534058322,0.2627102023639449,0.08248907986310411,0.31541600396961045,0.015366098600483252,0.3536446137882505,-0.02385257600508599,0.37684497130019823,0.8858
stren_L-PoCG,-0.33927742880759926,-0.38897957296144514,-0.22316812983535755,-0.4297836890093983,-0.046793456683481865,-0.45450116577560656,0.14454255839949137,-0.4699992050067293,0.22071858864787774,0.6354
stren_L-PCG,0.36842300300944775,0.2946798962220728,0.3794234449417711,0.2511484542030879,0.425110798171773,0.20769904604284956,0.45023757875000775,0.17140338868376986,0.47142083838615034,0.9896
stren_L-PrCG,-0.13188327813768172,-0.23403977536259885,0.0025321433888467262,-0.3093739153436688,0.1848226355321622,-0.3491367240933826,0.3685980896463731,-0.3713278303024142,0.4335120098193361,0.242
stren_L-PCU,0.36471110542098395,0.28593263072831476,0.37882713366064524,0.2084439884507781,0.41844223880720655,0.10791417826036531,0.4463190022313825,0.02248952318652369,0.4619297466457717,0.9864
stren_L-RACG,0.39560597899927136,0.31210487506444706,0.41499193576531807,0.18231278372124007,0.4470126935052721,0.003835140502784,0.4638919957094278,-0.08509293386923558,0.4758193044672685,0.9858
stren_L-RMFG,0.2632455681312992,0.1786503384560526,0.30572536036742964,0.06267275090469587,0.34983204409566615,-0.10262967205880089,0.3812113162564613,-0.166625486252897,0.3922827624124572,0.3964
stren_L-SFG,-0.21360587512643897,-0.301014018440739,-0.08579041331615331,-0.36944547223238283,0.08528773116866956,-0.40156356549581723,0.22392702414878699,-0.42828272189215877,0.33699672211810616,0.2762
stren_L-SPG,0.24178315437477674,0.15898745538237574,0.2875278940522454,0.09342064944213557,0.3551712233008911,0.039212102110395206,0.3962801506687691,0.005091239593790463,0.41605791291773897,0.999
stren_L-STG,-0.2814024685818835,-0.2988583609273587,-0.21393272649264422,-0.3308905022538455,-0.1380500079505621,-0.3523852358299115,-0.032244525593215764,-0.36519362483075385,0.003983641589237048,0.9662
stren_L-SMG,-0.1847181071272542,-0.2100528199430512,-0.12172164082968509,-0.24287668202856041,-0.043107407743265456,-0.2630782488656768,0.03662006770705735,-0.27429422808559517,0.09737664175564743,0.5408
